id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1216533,2020,Abu Dhabi,19-10-2020,League,JC Buttler,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7,126,20,N,,CB Gaffaney,VK Sharma
1216546,2020,Dubai,20-10-2020,League,S Dhawan,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5,165,20,N,,C Shamshuddin,RK Illingworth
1216494,2020,Abu Dhabi,21-10-2020,League,Mohammed Siraj,Sheikh Zayed Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8,85,20,N,,VK Sharma,S Ravi
1216518,2020,Dubai,22-10-2020,League,MK Pandey,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,155,20,N,,Nitin Menon,PR Reiffel
1216521,2020,Sharjah,23-10-2020,League,TA Boult,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10,115,20,N,,C Shamshuddin,VA Kulkarni
1216497,2020,Abu Dhabi,24-10-2020,League,CV Varun,Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59,195,20,N,,CB Gaffaney,PG Pathak
1216498,2020,Dubai,24-10-2020,League,CJ Jordan,Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12,127,20,N,,AY Dandekar,PR Reiffel
1216541,2020,Abu Dhabi,25-10-2020,League,BA Stokes,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8,196,20,N,,UV Gandhe,VK Sharma
1216544,2020,Dubai,25-10-2020,League,RD Gaikwad,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8,146,20,N,,C Shamshuddin,RK Illingworth
1216520,2020,Sharjah,26-10-2020,League,CH Gayle,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8,150,20,N,,KN Ananthapadmanabhan,RK Illingworth
1216524,2020,Dubai,27-10-2020,League,WP Saha,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88,220,20,N,,AK Chaudhary,Nitin Menon
1216499,2020,Abu Dhabi,28-10-2020,League,SA Yadav,Sheikh Zayed Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5,165,20,N,,UV Gandhe,CB Gaffaney
1216536,2020,Dubai,29-10-2020,League,RD Gaikwad,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,173,20,N,,C Shamshuddin,RK Illingworth
1216537,2020,Abu Dhabi,30-10-2020,League,BA Stokes,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,186,20,N,,CB Gaffaney,S Ravi
1216502,2020,Sharjah,31-10-2020,League,Sandeep Sharma,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,121,20,N,,KN Ananthapadmanabhan,K Srinivasan
1216535,2020,Dubai,31-10-2020,League,Ishan Kishan,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,111,20,N,,YC Barde,PR Reiffel
1216506,2020,Abu Dhabi,01-11-2020,League,RD Gaikwad,Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9,154,20,N,,PG Pathak,VK Sharma
1216530,2020,Dubai,01-11-2020,League,PJ Cummins,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60,192,20,N,,Nitin Menon,PR Reiffel
1216505,2020,Abu Dhabi,02-11-2020,League,A Nortje,Sheikh Zayed Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,153,20,N,,CB Gaffaney,S Ravi
1216495,2020,Sharjah,03-11-2020,League,S Nadeem,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10,150,20,N,,C Shamshuddin,RK Illingworth
1237177,2020,Dubai,05-11-2020,Qualifier 1,JJ Bumrah,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57,201,20,N,,CB Gaffaney,Nitin Menon
1237178,2020,Abu Dhabi,06-11-2020,Eliminator,KS Williamson,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6,132,20,N,,PR Reiffel,S Ravi
1237180,2020,Abu Dhabi,08-11-2020,Qualifier 2,MP Stoinis,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17,190,20,N,,PR Reiffel,S Ravi
1237181,2020,Dubai,10-11-2020,Final,TA Boult,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,157,20,N,,CB Gaffaney,Nitin Menon
1254058,2021,Chennai,09-04-2021,League,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,2,160,20,N,,KN Ananthapadmanabhan,Nitin Menon
1254059,2021,Mumbai,10-04-2021,League,S Dhawan,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,189,20,N,,AK Chaudhary,VK Sharma
1254060,2021,Chennai,11-04-2021,League,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,10,188,20,N,,KN Ananthapadmanabhan,Nitin Menon
1254061,2021,Mumbai,12-04-2021,League,SV Samson,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,4,222,20,N,,AK Chaudhary,S Ravi
1254062,2021,Chennai,13-04-2021,League,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,10,153,20,N,,C Shamshuddin,CB Gaffaney
1254063,2021,Chennai,14-04-2021,League,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,6,150,20,N,,Nitin Menon,UV Gandhe
1254064,2021,Mumbai,15-04-2021,League,JD Unadkat,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,148,20,N,,S Ravi,VK Sharma
1254065,2021,Mumbai,16-04-2021,League,DL Chahar,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,107,20,N,,AK Chaudhary,AY Dandekar
1254066,2021,Chennai,17-04-2021,League,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,13,151,20,N,,CB Gaffaney,K Srinivasan
1254067,2021,Chennai,18-04-2021,League,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,38,205,20,N,,C Shamshuddin,Nitin Menon
1254068,2021,Mumbai,18-04-2021,League,S Dhawan,"Wankhede Stadium, Mumbai",Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,196,20,N,,AK Chaudhary,PR Reiffel
1254069,2021,Mumbai,19-04-2021,League,MM Ali,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,45,189,20,N,,PR Reiffel,VK Sharma
1254070,2021,Chennai,20-04-2021,League,A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,wickets,6,138,20,N,,C Shamshuddin,CB Gaffaney
1254071,2021,Chennai,21-04-2021,League,JM Bairstow,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,wickets,9,121,20,N,,K Srinivasan,Nitin Menon
1254072,2021,Mumbai,21-04-2021,League,F du Plessis,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,18,221,20,N,,AY Dandekar,PR Reiffel
1254073,2021,Mumbai,22-04-2021,League,D Padikkal,"Wankhede Stadium, Mumbai",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10,178,20,N,,J Madanagopal,S Ravi
1254074,2021,Chennai,23-04-2021,League,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,9,132,20,N,,C Shamshuddin,Nitin Menon
1254075,2021,Mumbai,24-04-2021,League,CH Morris,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,134,20,N,,Navdeep Singh,S Ravi
1254076,2021,Mumbai,25-04-2021,League,RA Jadeja,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,runs,69,192,20,N,,AK Chaudhary,VK Sharma
1254077,2021,Chennai,25-04-2021,League,PP Shaw,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,tie,,160,20,Y,,CB Gaffaney,KN Ananthapadmanabhan
1254078,2021,Ahmedabad,26-04-2021,League,EJG Morgan,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5,124,20,N,,PR Reiffel,YC Barde
